Nome;Código;codigo
epar3;EPAR3;epar3
telebras;TELB3;telb3
banco mercantil de investimentos;BMIN4;bmin4
karsten;CTKA4;ctka4
elektro;EKTR4;ektr4
cedro têxtil;CEDO3;cedo3
wlm;WLMM3;wlmm3
sansuy;SNSY3;snsy3
sondotécnica;SOND6;sond6
participações aliança da bahia;PEAB3;peab3
rio paranapanema energia;GEPA3;gepa3
alphaville;AVLL3;avll3
alfa financeira;CRIV3;criv3
excelsior;BAUH4;bauh4
hercules;HETA4;heta4
metisa;MTSA3;mtsa3
consórcio alfa;BRGE6;brge6
são paulo turismo;AHEB3;aheb3
plascar;PLAS3;plas3
general shopping & outlets;GSHP3;gshp3
dtcom;DTCY3;dtcy3
saraiva;SLED4;sled4
saraiva;SLED3;sled3
consórcio alfa;BRGE8;brge8
adolpho lindenberg;CALI3;cali3
equatorial energia pará;EQPA7;eqpa7
döhler;DOHL3;dohl3
consórcio alfa;BRGE5;brge5
equatorial energia pará;EQPA5;eqpa5
sondotécnica;SOND5;sond5
ferbasa;FESA3;fesa3
ceee d;CEED3;ceed3
consórcio alfa;BRGE11;brge11
ceee d;CEED4;ceed4
panatlântica;PATI3;pati3
mercantil do brasil financeira;MERC4;merc4
banrisul;BRSR5;brsr5
equatorial energia pará;EQPA6;eqpa6
metalfrio;FRIO3;frio3
são paulo turismo;AHEB6;aheb6
bardella;BDLL4;bdll4
cia. de seg. aliança da bahia;CSAB4;csab4
pine;PINE3;pine3
mrs logística;MRSA3B;mrsa3b
mrs logística;MRSA5B;mrsa5b
mrs logística;MRSA6B;mrsa6b
fiei3;FIEI3;fiei3
estrela;ESTR3;estr3
via;VIIA3;viia3
tronox pigmentos;CRPG3;crpg3
monteiro aranha;MOAR3;moar3
elektro;EKTR3;ektr3
banco mercantil de investimentos;BMIN3;bmin3
nordon;NORD3;nord3
cia. de seg. aliança da bahia;CSAB3;csab3
trevisa;LUXM4;luxm4
consórcio alfa;BRGE7;brge7
wetzel;MWET3;mwet3
usiminas;USIM6;usim6
são paulo turismo;AHEB5;aheb5
edp brasil;ENBR3;enbr3
eletrobras;ELET5;elet5
boa vista;BOAS3;boas3
cemepe;MAPT4;mapt4
cosern;CSRN6;csrn6
participações aliança da bahia;PEAB4;peab4
cosern;CSRN5;csrn5
coelce;COCE3;coce3
josapar;JOPA4;jopa4
banco modal;MODL3;modl3
karsten;CTKA3;ctka3
mercantil do brasil financeira;MERC3;merc3
dmfn3;DMFN3;dmfn3
naturgy (ceg);CEGR3;cegr3
cemepe;MAPT3;mapt3
cr2;CRDE3;crde3
igb eletrônica;IGBR3;igbr3
melhoramentos;MSPA4;mspa4
conservas oderich;ODER4;oder4
hermes pardini;PARD3;pard3
casan;CASN3;casn3
wizs3;WIZS3;wizs3
llis3;LLIS3;llis3
melhoramentos;MSPA3;mspa3
brmalls;BRML3;brml3
dommo energia;DMMO3;dmmo3
getnet;GETT3;gett3
getnet;GETT4;gett4
sulamérica;SULA4;sula4
sulamérica;SULA3;sula3
celpe;CEPE5;cepe5
tecnosolo;TCNO4;tcno4
tecnosolo;TCNO3;tcno3
